count,nisin,day,temperature,ph,strain,inoculum,milk_batch,milk_age,milk_apc,cheese_make,cheese_plate,rep
2550000000,N,14,22,6.5,5624,62700000,20-Jan-17,12,10.2,11-Jan-17,e,3
2005000000,N,14,22,6.5,5625,40800000,20-Jan-17,12,10.2,11-Jan-17,e,3
719000000,Y,14,22,6.5,10403S,46200000,20-Jan-17,12,10.2,11-Jan-17,f,3
740500000,Y,14,22,6.5,5621,36900000,20-Jan-17,12,10.2,11-Jan-17,f,3
991000000,Y,14,22,6.5,5623,37000000,20-Jan-17,12,10.2,11-Jan-17,f,3
1170000000,Y,14,22,6.5,5624,62700000,20-Jan-17,12,10.2,11-Jan-17,f,3
673000000,Y,14,22,6.5,5625,40800000,20-Jan-17,12,10.2,11-Jan-17,f,3
139500000,N,1,6,6,10403S,32700000,10-Dec-16,17,0,6-Dec-16,a,1
129000000,N,1,6,6,5621,27300000,10-Dec-16,17,0,6-Dec-16,a,1
140500000,N,1,6,6,5623,27600000,10-Dec-16,17,0,6-Dec-16,a,1
405500000,N,1,6,6,5624,27600000,10-Dec-16,17,0,6-Dec-16,a,1
381500000,N,1,6,6,5625,17400000,10-Dec-16,17,0,6-Dec-16,a,1
4825000,Y,1,6,6,10403S,32700000,10-Dec-16,17,0,6-Dec-16,b,1
3550000,Y,1,6,6,5621,27300000,10-Dec-16,17,0,6-Dec-16,b,1
3270000,Y,1,6,6,5623,27600000,10-Dec-16,17,0,6-Dec-16,b,1
3110000,Y,1,6,6,5624,27600000,10-Dec-16,17,0,6-Dec-16,b,1
4095000,Y,1,6,6,5625,17400000,10-Dec-16,17,0,6-Dec-16,b,1
715000000,N,7,6,6,10403S,32700000,10-Dec-16,17,0,6-Dec-16,c,1
795500000,N,7,6,6,5621,27300000,10-Dec-16,17,0,6-Dec-16,c,1
1020900000,N,7,6,6,5623,27600000,10-Dec-16,17,0,6-Dec-16,c,1
880450000,N,7,6,6,5624,27600000,10-Dec-16,17,0,6-Dec-16,c,1
880000000,N,7,6,6,5625,17400000,10-Dec-16,17,0,6-Dec-16,c,1
83800,Y,7,6,6,10403S,32700000,10-Dec-16,17,0,6-Dec-16,d,1
885000,Y,7,6,6,5621,27300000,10-Dec-16,17,0,6-Dec-16,d,1
398500,Y,7,6,6,5623,27600000,10-Dec-16,17,0,6-Dec-16,d,1
918000,Y,7,6,6,5624,27600000,10-Dec-16,17,0,6-Dec-16,d,1
352000,Y,7,6,6,5625,17400000,10-Dec-16,17,0,6-Dec-16,d,1
243500000,N,14,6,6,10403S,32700000,10-Dec-16,17,0,6-Dec-16,e,1
1185000000,N,14,6,6,5621,27300000,10-Dec-16,17,0,6-Dec-16,e,1
1350000000,N,14,6,6,5623,27600000,10-Dec-16,17,0,6-Dec-16,e,1
525500000,N,14,6,6,5624,27600000,10-Dec-16,17,0,6-Dec-16,e,1
1225000000,N,14,6,6,5625,17400000,10-Dec-16,17,0,6-Dec-16,e,1
